date,stress_level
2013-03-24,1
2013-03-29,1
2013-03-30,1
2013-03-31,1
2013-04-01,0
2013-04-03,1
2013-04-04,1
2013-04-05,1
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,1
2013-04-11,0
2013-04-12,0
2013-04-13,1
2013-04-14,0
2013-04-15,0
2013-04-16,1
2013-04-17,0
2013-04-18,1
2013-04-20,1
2013-04-23,0
2013-04-27,1
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,1
2013-05-05,1
2013-05-06,0
2013-05-07,1
2013-05-08,0
2013-05-09,0
2013-05-10,1
2013-05-11,0
2013-05-13,1
2013-05-15,1
2013-05-17,0
2013-05-18,0
2013-05-19,1
2013-05-20,0
2013-05-21,1
2013-05-23,0
2013-05-24,0
2013-05-27,1
2013-05-30,0
2013-05-31,1
